coordinates:	55.8,114.4	140.8,114.4	225.8,114.4
timeat300nm	I_1at300nm	I_2at300nm	I_3at300nm
6.360000e+01	113	138	119
6.370000e+01	151	113	131
6.380000e+01	113	144	123
6.390000e+01	143	117	130
64	113	134	121
6.410000e+01	151	114	124
6.420000e+01	113	140	121
6.430000e+01	140	114	127
6.440000e+01	113	143	126
6.450000e+01	147	113	126
6.460000e+01	113	143	122
6.470000e+01	141	114	128
6.480000e+01	113	144	123
6.490000e+01	145	116	141
65	113	129	118
6.510000e+01	150	114	121
6.520000e+01	113	141	122
6.530000e+01	154	115	124
6.540000e+01	113	133	117
6.550000e+01	141	114	131
6.560000e+01	113	139	116
6.570000e+01	137	114	124
6.580000e+01	113	136	118
6.590000e+01	146	114	123
66	113	138	117
6.610000e+01	149	114	137
6.620000e+01	113	144	125
6.630000e+01	140	116	128
6.640000e+01	113	136	114
6.650000e+01	146	114	133
6.660000e+01	113	139	118
6.670000e+01	146	116	133
6.680000e+01	113	135	120
6.690000e+01	142	115	135
67	113	138	123
6.710000e+01	144	115	129
6.720000e+01	113	134	119
6.730000e+01	139	115	126
6.740000e+01	113	137	117
6.750000e+01	139	114	126
6.760000e+01	113	141	121
6.770000e+01	148	113	128
6.780000e+01	113	130	118
6.790000e+01	151	114	130
68	113	141	119
6.810000e+01	139	116	122
6.820000e+01	113	133	122
6.830000e+01	146	114	125
6.840000e+01	113	148	125
6.850000e+01	139	115	125
6.860000e+01	113	144	118
6.870000e+01	141	115	130
6.880000e+01	113	139	118
6.890000e+01	146	116	125
69	113	141	122
6.910000e+01	134	115	131
6.920000e+01	113	130	118
6.930000e+01	156	113	130
6.940000e+01	113	135	121
6.950000e+01	135	116	133
6.960000e+01	113	136	115
6.970000e+01	133	113	127
6.980000e+01	113	135	119
6.990000e+01	158	115	124
70	113	138	123
7.010000e+01	146	118	140
7.020000e+01	113	144	118
7.030000e+01	150	117	130
7.040000e+01	113	140	122
7.050000e+01	138	115	131
7.060000e+01	113	136	121
7.070000e+01	144	116	126
7.080000e+01	113	142	122
7.090000e+01	155	117	137
71	113	137	121
7.110000e+01	150	114	125
7.120000e+01	113	135	120
7.130000e+01	147	116	129
7.140000e+01	113	131	117
7.150000e+01	142	116	136
7.160000e+01	113	134	117
7.170000e+01	142	117	129
7.180000e+01	113	151	123
7.190000e+01	144	114	128
72	113	138	120
7.210000e+01	143	114	131
7.220000e+01	113	131	121
7.230000e+01	136	114	127
7.240000e+01	113	137	119
7.250000e+01	157	114	125
7.260000e+01	113	132	118
7.270000e+01	144	117	128
7.280000e+01	113	151	114
7.290000e+01	153	116	129
73	113	135	119
7.310000e+01	141	117	139
7.320000e+01	113	140	119
7.330000e+01	144	118	129
7.340000e+01	113	137	119
7.350000e+01	153	115	129
7.360000e+01	113	145	121
7.370000e+01	146	118	128
7.380000e+01	113	132	115
7.390000e+01	151	117	131
74	113	144	120
7.410000e+01	145	115	140
7.420000e+01	113	133	118
7.430000e+01	156	115	126
7.440000e+01	113	150	125
7.450000e+01	148	114	129
7.460000e+01	113	146	121
7.470000e+01	139	116	124
7.480000e+01	113	135	118
7.490000e+01	148	114	132
75	113	131	121
7.510000e+01	149	115	124
7.520000e+01	113	139	125
7.530000e+01	143	116	129
7.540000e+01	113	137	126
7.550000e+01	141	116	130
7.560000e+01	113	146	121
7.570000e+01	146	116	125
7.580000e+01	113	139	118
7.590000e+01	148	116	132
76	113	132	115
7.610000e+01	140	115	127
7.620000e+01	113	143	121
7.630000e+01	141	115	141
7.640000e+01	113	140	120
7.650000e+01	142	114	130
7.660000e+01	113	135	122
7.670000e+01	149	115	126
7.680000e+01	113	141	124
7.690000e+01	145	115	126
77	113	137	121
7.710000e+01	150	113	130
7.720000e+01	113	137	126
7.730000e+01	139	114	132
7.740000e+01	113	142	120
7.750000e+01	151	115	134
7.760000e+01	113	128	118
7.770000e+01	143	114	127
7.780000e+01	113	140	117
7.790000e+01	149	113	131
78	113	138	122
7.810000e+01	150	118	130
7.820000e+01	113	139	117
7.830000e+01	152	114	124
7.840000e+01	113	138	115
7.850000e+01	154	118	126
7.860000e+01	113	136	117
7.870000e+01	139	115	127
7.880000e+01	113	139	121
7.890000e+01	138	113	128
79	113	142	118
7.910000e+01	143	113	132
7.920000e+01	113	131	120
7.930000e+01	133	113	128
7.940000e+01	113	143	122
7.950000e+01	150	115	129
7.960000e+01	113	142	124
7.970000e+01	139	115	131
7.980000e+01	113	134	119
7.990000e+01	138	117	128
80	113	145	120
8.010000e+01	146	116	122
8.020000e+01	113	143	124
8.030000e+01	148	115	130
