time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	I_3 at 532nm(counts)	discr.I_3 at 532nm(counts)	time at 638nm	frame at 638nm	I_1 at 638nm(counts)	discr.I_1 at 638nm(counts)	I_2 at 638nm(counts)	discr.I_2 at 638nm(counts)	I_3 at 638nm(counts)	discr.I_3 at 638nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	time at 532nm	frame at 532nm	S_1>2	discr.S_1>2	
6.206750e+00	61	8.654026e+03	9.681417e+03	9.826466e+02	1.024752e+03	9.691865e+01	5.289865e+01	6.308500e+00	62	-8.857924e+01	1.224976e+01	6.645501e+03	8.116522e+03	2.934996e+02	3.142081e+02	6.206750e+00	61	1.820997e-01	1.720050e-01	6.206750e+00	61	4.481260e-01	4.317745e-01	
6.410250e+00	63	1.009703e+04	9.681417e+03	5.599766e+02	1.024752e+03	2.179186e+02	5.289865e+01	6.512000e+00	64	-1.595792e+02	1.224976e+01	7.878501e+03	8.116522e+03	-1.425004e+02	3.142081e+02	6.410250e+00	63	9.807874e-02	1.720050e-01	6.410250e+00	63	4.201852e-01	4.317745e-01	
6.613750e+00	65	9.841026e+03	9.681417e+03	1.439977e+03	1.024752e+03	3.429186e+02	5.289865e+01	6.715500e+00	66	-7.157924e+01	1.224976e+01	8.724501e+03	8.116522e+03	1.314996e+02	3.142081e+02	6.613750e+00	65	2.229446e-01	1.720050e-01	6.613750e+00	65	4.253922e-01	4.317745e-01	
6.817250e+00	67	1.015203e+04	9.681417e+03	1.678407e+03	1.024752e+03	-5.808135e+01	5.289865e+01	6.919000e+00	68	1.724208e+02	1.224976e+01	7.914501e+03	8.116522e+03	2.774996e+02	3.142081e+02	6.817250e+00	67	2.448106e-01	1.720050e-01	6.817250e+00	67	4.641662e-01	4.317745e-01	
7.020750e+00	69	8.288026e+03	9.681417e+03	1.229087e+03	1.024752e+03	-2.908135e+01	5.289865e+01	7.122500e+00	70	-7.857924e+01	1.224976e+01	7.554501e+03	8.116522e+03	3.494996e+02	3.142081e+02	7.020750e+00	69	2.252733e-01	1.720050e-01	7.020750e+00	69	4.193527e-01	4.317745e-01	
7.224250e+00	71	1.115403e+04	9.681417e+03	1.056327e+03	1.024752e+03	9.991865e+01	5.289865e+01	7.326000e+00	72	-9.257924e+01	1.224976e+01	8.061501e+03	8.116522e+03	4.764996e+02	3.142081e+02	7.224250e+00	71	1.566116e-01	1.720050e-01	7.224250e+00	71	4.555387e-01	4.317745e-01	
7.427750e+00	73	8.204026e+03	9.681417e+03	1.067067e+03	1.024752e+03	1.079186e+02	5.289865e+01	7.529500e+00	74	2.142076e+01	1.224976e+01	8.299501e+03	8.116522e+03	5.874996e+02	3.142081e+02	7.427750e+00	73	2.032074e-01	1.720050e-01	7.427750e+00	73	3.875188e-01	4.317745e-01	
7.631250e+00	75	9.360026e+03	9.681417e+03	1.241987e+03	1.024752e+03	-5.081351e+00	5.289865e+01	7.733000e+00	76	3.334208e+02	1.224976e+01	9.107501e+03	8.116522e+03	4.294996e+02	3.142081e+02	7.631250e+00	75	2.064610e-01	1.720050e-01	7.631250e+00	75	3.977755e-01	4.317745e-01	
7.834750e+00	77	1.023203e+04	9.681417e+03	4.599466e+02	1.024752e+03	2.669186e+02	5.289865e+01	7.936500e+00	78	7.342076e+01	1.224976e+01	9.157501e+03	8.116522e+03	1.664996e+02	3.142081e+02	7.834750e+00	77	8.100105e-02	1.720050e-01	7.834750e+00	77	3.827422e-01	4.317745e-01	
8.038250e+00	79	1.105603e+04	9.681417e+03	1.849587e+03	1.024752e+03	7.918649e+00	5.289865e+01	8.140000e+00	80	1.544208e+02	1.224976e+01	7.091501e+03	8.116522e+03	2.854996e+02	3.142081e+02	8.038250e+00	79	2.470015e-01	1.720050e-01	8.038250e+00	79	5.136031e-01	4.317745e-01	
8.241750e+00	81	9.787026e+03	9.681417e+03	7.306566e+02	1.024752e+03	6.091865e+01	5.289865e+01	8.343500e+00	82	7.142076e+01	1.224976e+01	7.429501e+03	8.116522e+03	1.194996e+02	3.142081e+02	8.241750e+00	81	1.276916e-01	1.720050e-01	8.241750e+00	81	4.350851e-01	4.317745e-01	
8.445250e+00	83	9.529026e+03	9.681417e+03	1.899557e+03	1.024752e+03	6.918649e+00	5.289865e+01	8.547000e+00	84	-9.057924e+01	1.224976e+01	7.587501e+03	8.116522e+03	3.414996e+02	3.142081e+02	8.445250e+00	83	2.810261e-01	1.720050e-01	8.445250e+00	83	4.711386e-01	4.317745e-01	
8.648750e+00	85	1.093003e+04	9.681417e+03	1.239647e+03	1.024752e+03	-1.260814e+02	5.289865e+01	8.750500e+00	86	-6.257924e+01	1.224976e+01	5.529501e+03	8.116522e+03	2.554996e+02	3.142081e+02	8.648750e+00	85	1.819275e-01	1.720050e-01	8.648750e+00	85	5.520299e-01	4.317745e-01	
8.852250e+00	87	1.193703e+04	9.681417e+03	1.032557e+03	1.024752e+03	2.639186e+02	5.289865e+01	8.954000e+00	88	1.274208e+02	1.224976e+01	8.059501e+03	8.116522e+03	7.049963e+01	3.142081e+02	8.852250e+00	87	1.450130e-01	1.720050e-01	8.852250e+00	87	4.690690e-01	4.317745e-01	
9.055750e+00	89	1.245703e+04	9.681417e+03	1.207477e+03	1.024752e+03	-1.908135e+01	5.289865e+01	9.157500e+00	90	-3.857924e+01	1.224976e+01	7.193501e+03	8.116522e+03	7.549963e+01	3.142081e+02	9.055750e+00	89	1.597073e-01	1.720050e-01	9.055750e+00	89	5.124392e-01	4.317745e-01	
9.259250e+00	91	9.876026e+03	9.681417e+03	1.597847e+03	1.024752e+03	-9.908135e+01	5.289865e+01	9.361000e+00	92	4.642076e+01	1.224976e+01	6.658501e+03	8.116522e+03	4.149963e+01	3.142081e+02	9.259250e+00	91	2.408347e-01	1.720050e-01	9.259250e+00	91	4.991017e-01	4.317745e-01	
